"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Integrative Multi-Modal Framework for Enhanced Cervical Cancer Diagnosis Using Semi-Supervised Deep Learning","https://scispace.com/paper/integrative-multi-modal-framework-for-enhanced-cervical-ft35aas0t497","2025","Proceedings Article","","Dr. Ch. Venkata
Ramana Reddy
Dr G RaviKanth
N. V. Vishnu
Murthy Ravipati","10.1109/icpeev67897.2025.11291564","","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses semi‑supervised deep learning for cervical cancer early detection, reporting AUC, sensitivity, specificity. Fuses histopathology images with genomic profiles. No direct model‑to‑model comparison provided.","This work suggests an innovative integrative framework to promote cervical cancer diagnosis through the fusion of histopathological images, genomic profiles, and clinical information by using a semi-supervised deep learning framework. Utilizing multi-modal data fusion, the framework enhances performance even in limited-labeled-data scenarios, which supports scalability and flexibility. The system applies a layer-wise fusion approach that allows end-to-end representation learning, hence enhancing robustness and generalizability. Experimental validation exhibits dramatic improvements, with the model registering a 95.88% diagnostic accuracy, sensitivity of 96%, and specificity of 94%. Further, its Area Under the Curve (AUC) of 0.98 is testament to its high discriminative ability. These results highlight the potential of the framework in providing customized, data-based clinical assistance, with impressive enhancements in early diagnosis and treatment planning. Aside from cervical cancer, this methodology offers a scalable diagnostic template for other complicated illnesses, providing a new standard for multi-modal fusion in medical AI."
"Revolutionizing Cervical Cancer Screening: A Multimodal AI Approach Using Visual, Genomic and Clinical Features","https://scispace.com/paper/revolutionizing-cervical-cancer-screening-a-multimodal-ai-3r02rtt9g4ci","2025","Journal Article","","Sonal Rattan
Chilukamukku Swathi
Balajee Maram
Bhavna Nayyer
M.V.B. Chandrasekhar
S Gill","10.1109/isaect68904.2025.11318777","","- **Relevance Score:** 64/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses multimodal AI (colposcopic imaging + genomic biomarkers) for cervical cancer risk stratification, reports AUC 0.96 and compares to unimodal baselines, but lacks explicit sensitivity and specificity values.","This paper suggests a new multimodal artificial intelligence (AI) framework, which combines colposcopic imaging, genomic biomarkers, and structured clinical parameters, in order to enhance early-stage cervical cancer risk stratification. The model uses a unified deep learning network incorporating cross modal attention to extract and merge discriminative features in a cross modal manner. 5,000 records of three global cohorts were utilized, and generalizability was ensured by displaying rigorous preprocessing and 5-fold cross-validation and external validation. The multimodal solution reached up to AUC 0.96 and was significantly better than unimodal. SHAP and Grad-CAM were also applied to provide interpretability and help clinicians trust them and be transparent. Such results confirm that multimodal AI has translational effects to enhance the accuracy of screening, shorten the time to diagnosis, and scale deployment in locations with and without substantial resources. "
"Artificial intelligence in early cancer detection: a paradigm shift in oncology diagnostic","https://scispace.com/paper/artificial-intelligence-in-early-cancer-detection-a-paradigm-5b0j77onhmda","2025","Journal Article","Journal of medical & health sciences review.","Imrana Essa
Memoona
Sheela Davi Malhi
Dileep Kumar Malhi
Taimoor Asghar
Muhammad Zubair Tahir
Sher Muhammad","10.62019/22204z93","","- **Relevance Score:** 58/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses CNNs and decision trees to detect early cancers, reporting AUC, sensitivity, specificity; compares multiple AI models; no genomics data included.","Early detection of cancer is a critical factor in improving survival rates and treatment outcomes. In Pakistan, where diagnostic delays, inadequate screening infrastructure, and shortage of specialized personnel are prevalent, Artificial Intelligence (AI) offers a transformative opportunity for early oncology diagnostics. This study assesses the diagnostic performance and contextual feasibility of AI-based models—particularly machine learning (ML) and deep learning (DL)—in identifying early-stage cancers using imaging modalities such as mammography, CT scans, MRI, and histopathology. A mixed-methods approach was employed, involving retrospective analysis of imaging datasets collected from three leading institutions: Shaukat Khanum Memorial Cancer Hospital &amp; Research Centre (Lahore), Aga Khan University Hospital (Karachi), and Pakistan Institute of Medical Sciences (PIMS, Islamabad). AI models including convolutional neural networks (CNNs) and decision tree classifiers were trained and tested on over 1200 anonymized and annotated imaging samples. Performance was evaluated using key metrics such as sensitivity, specificity, accuracy, and area under the curve (AUC). Additionally, semi-structured interviews with radiologists, oncologists, and medical IT staff at the selected hospitals were conducted to explore infrastructural readiness, ethical considerations, and clinical acceptability of AI integration. Findings revealed that AI-powered diagnostic tools achieved high sensitivity and accuracy in detecting early-stage malignancies, often improving diagnostic speed and reducing observer bias. However, infrastructural disparities, inconsistent digitization of patient records, and the need for physician training were identified as key barriers to implementation. Despite these challenges, healthcare professionals expressed cautious optimism about integrating AI to support Pakistan’s overburdened healthcare system.The study concludes that AI holds significant promise for enhancing early cancer detection in Pakistan. It emphasizes the importance of strategic investments in digital infrastructure, training, and policy frameworks to enable safe, effective, and equitable adoption of AI in oncology. "
"LungGuard- A Multimodal Deep Learning System for Early Lung Cancer Detection via Fusion of CT Imaging, Clinical Biomarkers, and Demographic Data","https://scispace.com/paper/lungguard-a-multimodal-deep-learning-system-for-early-lung-5zxphhn3m1fw","2025","Repository","","","10.5281/zenodo.17177686","","- **Relevance Score:** 58/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses deep learning on CT, biomarkers, demographics; reports AUC 0.96, sensitivity 92%, specificity 90%. Lacks genomics data, so multimodal genomics integration is minimal. Compares fusion model to radiologists and imaging‑only baselines, showing superior accuracy.","Early detection of lung cancer significantly improves patient prognosis by enabling timely intervention. However, single‐modality methods (e.g., CT imaging alone) often suffer from false positives, variable sensitivity, or lack of context from patient history. This work proposes LungGuard, a multimodal deep learning framework that fuses three complementary data sources—low‐dose CT scans, key clinical biomarkers (e.g. serum tumor markers, smoking history, family history), and demographic features (age, sex, environmental exposures)—to detect lung cancer at early stages, especially in high-risk populations. LungGuard uses a 3D convolutional neural network backbone to process volumetric CT scans, a fully connected network for the clinical biomarkers and demographics, and an attention-based fusion module to combine features. The model is trained and validated on a dataset of ~2,500 patients drawn from multiple centres, with ground truth from histopathology and clinical follow-ups. Data augmentation (rotation, scaling, contrast variation), transfer learning from pre-trained models, and techniques such as focal loss are used to address class imbalance. Preliminary results show that LungGuard achieves AUC ≈ 0.96, sensitivity ≈ 92%, specificity ≈ 90% in early-stage (I & II) lung cancer detection, outperforming radiologists in a controlled observer study by ~5% in accuracy. Explainability methods (Grad-CAM, SHAP) are used to highlight imaging regions and biomarker contributions. The contributions of this work are: (1) demonstrating that fusion of imaging + clinical + demographic data improves early detection; (2) providing a validated model on multi-centre data with robust performance; (3) integrating interpretability to increase clinical trust. Future work aims at external validation in prospective cohorts, inclusion of molecular/omics data, and deployment in low-resource settings. "
"Machine Learning in MRI-Based Cancer Characterization: Enhancing Precision and Early Detection","https://scispace.com/paper/machine-learning-in-mri-based-cancer-characterization-ave1k22nj09a","2025","Journal Article","","Shrawan Kumar Yadav
Dr. Harish Kumar
Dr. Amit Kumar Janu","10.51583/ijltemas.2025.1411000094","","- **Relevance Score:** 58/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses MRI‑based ML models reporting AUC, sensitivity, specificity; compares ensemble to single algorithms with superior precision; does not integrate genomics data.","This study examines how MRI and ML can improve cancer detection and early detection. Better cancer diagnostics and earlier detection are the goals. Test and evaluate machine learning methods for different cancers. These include CNNs, SVMs, RFs, and ensemble approaches. Public datasets were analyzed. The AUC-ROC, sensitivity, specificity, and detection rate were used to evaluate the results. Using radiomics features with deep learning architectures to improve diagnostic skills is also considered. Ensemble systems that use many machine learning (ML) methods outperform solo algorithms with an average precision of 92.7 percent. A list of the primary issues that must be addressed for practical translation is also provided. This requires larger and more diverse datasets and improved understanding and application of learned information. Multimodal integration and federated learning approaches may be studied in the future to solve current issues."
"A deep learning-based multimodal medical imaging model for breast cancer screening","https://scispace.com/paper/a-deep-learning-based-multimodal-medical-imaging-model-for-046sfpm4tx4r","2025","Journal Article","Dental science reports","Junwei Chen
Teng Pan
Zhengjie Zhu
Lijue Liu
Ning Zhao
Feng Xue
Weilong Zhang
Yuesong Wu
Cuidan Cai
Xiaojin Luo
Bihai Lin
Xuewei Wang
Qingwen Ye
Rui Gao
Zizhen Zhou
Richard Beatson
Jin Tang
Ruijie Ming
Dan Wang
Jianhua Deng
Guanglin Zhou","10.1038/s41598-025-99535-2","https://www.nature.com/articles/s41598-025-99535-2.pdf","- **Relevance Score:** 58/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses deep learning on mammography and ultrasound, reports AUC, sensitivity, specificity; lacks any genomics data; directly compares multimodal versus single‑modal models and multiple architectures.","In existing breast cancer prediction research, most models rely solely on a single type of imaging data, which limits their performance. To overcome this limitation, the present study explores breast cancer prediction models based on multimodal medical images (mammography and ultrasound images) and compares them with single-modal models. We collected medical imaging data from 790 patients, including 2,235 mammography images and 1,348 ultrasound images, and conducted a comparison using six deep learning classification models to identify the best model for constructing the multimodal classification model. Performance was evaluated using metrics such as area under the receiver operating characteristic curve (AUC), sensitivity, specificity, precision, and accuracy to compare the multimodal and single-modal classification models. Experimental results demonstrate that the multimodal classification model outperforms single-modal models in terms of specificity (96.41% (95% CI:93.10%-99.72%)), accuracy (93.78% (95% CI:87.67%-99.89%)), precision (83.66% (95% CI:76.27%-91.05%)), and AUC (0.968 (95% CI:0.947-0.989)), while single-modal models excel in sensitivity. Additionally, heatmap visualization was used to further validate the classification performance of the multimodal model. In conclusion, our multimodal classification model shows strong potential in breast cancer screening tasks, effectively assisting physicians in improving screening accuracy. "
"Artificial intelligence (AI) for breast cancer screening: BreastScreen population-based cohort study of cancer detection","https://scispace.com/paper/artificial-intelligence-ai-for-breast-cancer-screening-2rfr7fk1","2023","Journal Article","EBioMedicine","M. Luke Marinovich
Elizabeth Wylie
William Lotter
H. Lund
Andrew Waddell
Carolyn R. Madeley
Gavin Pereira
Nehmat Houssami","10.1016/j.ebiom.2023.104498","https://www.thelancet.com/pdfs/journals/ebiom/PIIS2352-3964(23)00063-4.pdf","- **Relevance Score:** 58/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AI to screen mammograms, reporting AUC, sensitivity, specificity; compares AI results directly with radiologist performance; does not incorporate any genomics data.",""
"International evaluation of an AI system for breast cancer screening.","https://scispace.com/paper/international-evaluation-of-an-ai-system-for-breast-cancer-4c1yg7x284","2020","Journal Article","Nature","Scott Mayer McKinney
Marcin Sieniek
Varun Godbole
Jonathan Godwin
Natasha Antropova
Hutan Ashrafian
Trevor Back
Mary Chesus
Greg C. Corrado
Ara Darzi
Mozziyar Etemadi
Florencia Garcia-Vicente
Fiona J. Gilbert
Mark D. Halling-Brown
Demis Hassabis
Sunny Jansen
Alan Karthikesalingam
Christopher Kelly
Dominic King
Joseph R. Ledsam
David S. Melnick
Hormuz Mostofi
Lily Peng
Joshua J. Reicher
Bernardino Romera-Paredes
Richard Sidebottom
Mustafa Suleyman
Daniel Tse
Kenneth C. Young
Jeffrey De Fauw
Shravya Shetty","10.1038/S41586-019-1799-6","https://scispace.com/pdf/international-evaluation-of-an-ai-system-for-breast-cancer-4c1yg7x284.pdf","- **Relevance Score:** 58/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AI to detect breast cancer, reporting AUC, sensitivity, specificity; compares AI performance to radiologists; no genomics data integrated.","Screening mammography aims to identify breast cancer at earlier stages of the disease, when treatment can be more successful1. Despite the existence of screening programmes worldwide, the interpretation of mammograms is affected by high rates of false positives and false negatives2. Here we present an artificial intelligence (AI) system that is capable of surpassing human experts in breast cancer prediction. To assess its performance in the clinical setting, we curated a large representative dataset from the UK and a large enriched dataset from the USA. We show an absolute reduction of 5.7% and 1.2% (USA and UK) in false positives and 9.4% and 2.7% in false negatives. We provide evidence of the ability of the system to generalize from the UK to the USA. In an independent study of six radiologists, the AI system outperformed all of the human readers: the area under the receiver operating characteristic curve (AUC-ROC) for the AI system was greater than the AUC-ROC for the average radiologist by an absolute margin of 11.5%. We ran a simulation in which the AI system participated in the double-reading process that is used in the UK, and found that the AI system maintained non-inferior performance and reduced the workload of the second reader by 88%. This robust assessment of the AI system paves the way for clinical trials to improve the accuracy and efficiency of breast cancer screening. An artificial intelligence (AI) system performs as well as or better than radiologists at detecting breast cancer from mammograms, and using a combination of AI and human inputs could help to improve screening efficiency."
"A Prospective Study to Assess the Utility of Artificial Intelligence-driven Cervical Screening Using Smart Scope versus Conventional Method.","https://scispace.com/paper/42124807","2026","Journal Article","Journal of mid-life health","Dhar
Saha
Sarkar
Sarkar
Das
Dutta","10.4103/jmh.jmh_170_25","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13160539/pdf","- **Relevance Score:** 58/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses AI-driven Smart Scope to screen cervical lesions, reporting AUC, sensitivity, specificity; directly compares AI method to conventional screening; no genomics data integrated.","Cervical cancer, the fourth most common cancer among women worldwide, often proves fatal and stems from high-risk human papillomavirus infection. Approximately 90% of cervical cancers can be prevented due to the disease's slow progression, which allows for a 10-year window for the detection and treatment of precancerous lesions. The World Health Organization called for global action toward the elimination of cervical cancer. One of the main strategies for cervical cancer elimination is to achieve screening coverage of at least 70% of women aged 35-45 years and to ensure that 90% of women diagnosed with precancerous lesions or invasive cervical cancer receive appropriate treatment by 2030. One of the main strategies for cervical cancer elimination is to achieve screening coverage of at least 70% of women aged 35-45 years and to ensure that 90% of women diagnosed with precancerous lesions or invasive cervical cancer receive appropriate treatment by 2030."
"Shifting the Cancer Screening Paradigm: The Rising Potential of Blood-Based Multi-Cancer Early Detection Tests","https://scispace.com/paper/shifting-the-cancer-screening-paradigm-the-rising-potential-2vbms08t","2023","Journal Article","Cells","Tiago Brito-Rocha
Vera Constâncio
Rui Henrique
Carmen Jerónimo","10.3390/cells12060935","https://scispace.com/pdf/shifting-the-cancer-screening-paradigm-the-rising-potential-2vbms08t.pdf","- **Relevance Score:** 52/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses diverse AI models on blood‑based omics, reports AUC, sensitivity, specificity; no imaging data; compares several classifiers but across separate studies rather than a unified head‑to‑head test.","Cancer remains a leading cause of death worldwide, partly owing to late detection which entails limited and often ineffective therapeutic options. Most cancers lack validated screening procedures, and the ones available disclose several drawbacks, leading to low patient compliance and unnecessary workups, adding up the costs to healthcare systems. Hence, there is a great need for innovative, accurate, and minimally invasive tools for early cancer detection. In recent years, multi-cancer early detection (MCED) tests emerged as a promising screening tool, combining molecular analysis of tumor-related markers present in body fluids with artificial intelligence to simultaneously detect a variety of cancers and further discriminate the underlying cancer type. Herein, we aim to provide a highlight of the variety of strategies currently under development concerning MCED, as well as the major factors which are preventing clinical implementation. Although MCED tests depict great potential for clinical application, large-scale clinical validation studies are still lacking."
